iter	Logloss
0	0.6231730411
50	0.008992559034
100	0.002143888359
150	0.001433650945
200	0.001198130863
250	0.001038157558
300	0.0009139612559
350	0.000799685595
400	0.0006996773805
450	0.0006078787001
499	0.000535119378
